A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-D1f,PRE-N4,POST-D1f-H1,POST-N4,,13.18,12.40,0.78
PRE-D1h,PRE-N4,POST-D1h-H1,POST-N4,,13.16,13.90,-0.74
PRE-D1j,PRE-N4,POST-D1j-H1,POST-N4,,16.09,16.60,-0.51
PRE-D1k,PRE-N4,POST-D1k-H1,POST-N4,,17.79,19.50,-1.71
PRE-D1l,PRE-N4,POST-D1l-H1,POST-N4,,16.07,17.90,-1.83
PRE-D1m,PRE-N4,POST-D1m-H1,POST-N4,,15.94,16.60,-0.66
PRE-D1n,PRE-N4,POST-D1n-H1,POST-N4,,11.83,12.00,-0.17
PRE-E1a,PRE-N4,POST-E1a-H1,POST-N4,,15.94,16.80,-0.86
PRE-E1b,PRE-N4,POST-E1b-H1,POST-N4,,17.27,18.10,-0.83
PRE-E1c,PRE-N4,POST-E1c-H1,POST-N4,,13.51,14.30,-0.79
PRE-E1d,PRE-N4,POST-E1d-H1,POST-N4,,19.69,19.50,0.19
PRE-E1e,PRE-N4,POST-E1e-H1,POST-N4,,14.16,14.20,-0.04
PRE-E1f,PRE-N4,POST-E1f-H1,POST-N4,,14.65,14.70,-0.05
PRE-E1g,PRE-N4,POST-E1g-H1,POST-N4,,14.52,15.80,-1.28
PRE-E1h,PRE-N4,POST-E1h-H1,POST-N4,,14.35,14.50,-0.15
PRE-E1i,PRE-N4,POST-E1i-H1,POST-N4,,16.92,17.80,-0.88
PRE-E1j,PRE-N4,POST-E1j-H1,POST-N4,,17.82,17.40,0.42
PRE-E1k,PRE-N4,POST-E1k-H1,POST-N4,,19.59,20.10,-0.51
PRE-E1l,PRE-N4,POST-E1l-H1,POST-N4,,17.30,17.40,-0.10
PRE-E1m,PRE-N4,POST-E1m-H1,POST-N4,,17.13,17.50,-0.37
PRE-E1n,PRE-N4,POST-E1n-H1,POST-N4,,12.83,13.70,-0.87
PRE-F1a,PRE-N4,POST-F1a-H1,POST-N4,,15.02,15.60,-0.58
PRE-F1b,PRE-N4,POST-F1b-H1,POST-N4,,17.16,17.30,-0.14
PRE-F1c,PRE-N4,POST-F1c-H1,POST-N4,,12.26,13.30,-1.04
PRE-F1d,PRE-N4,POST-F1d-H1,POST-N4,,19.93,20.30,-0.37
PRE-F1e,PRE-N4,POST-F1e-H1,POST-N4,,14.95,15.50,-0.55
PRE-F1f,PRE-N4,POST-F1f-H1,POST-N4,,14.04,14.10,-0.06
PRE-F1h,PRE-N4,POST-F1h-H1,POST-N4,,13.80,14.20,-0.40
PRE-F1j,PRE-N4,POST-F1j-H1,POST-N4,,17.07,17.70,-0.63
PRE-F1k,PRE-N4,POST-F1k-H1,POST-N4,,19.47,20.50,-1.03
PRE-F1l,PRE-N4,POST-F1l-H1,POST-N4,,17.46,18.10,-0.64
PRE-F1m,PRE-N4,POST-F1m-H1,POST-N4,,19.03,21.40,-2.37
PRE-F1n,PRE-N4,POST-F1n-H1,POST-N4,,12.14,12.00,0.14
PRE-G1a,PRE-N4,POST-G1a-H1,POST-N4,,15.04,15.00,0.04
PRE-G1b,PRE-N4,POST-G1b-H1,POST-N4,,17.32,18.00,-0.68
PRE-G1c,PRE-N4,POST-G1c-H1,POST-N4,,12.26,12.50,-0.24
PRE-G1d,PRE-N4,POST-G1d-H1,POST-N4,,20.50,21.60,-1.10
PRE-G1e,PRE-N4,POST-G1e-H1,POST-N4,,14.29,15.30,-1.01
PRE-G1f,PRE-N4,POST-G1f-H1,POST-N4,,13.62,13.70,-0.08
PRE-G1g,PRE-N4,POST-G1g-H1,POST-N4,,14.73,14.60,0.13
PRE-G1h,PRE-N4,POST-G1h-H1,POST-N4,,13.57,13.80,-0.23
PRE-G1i,PRE-N4,POST-G1i-H1,POST-N4,,16.45,17.20,-0.75
PRE-G1j,PRE-N4,POST-G1j-H1,POST-N4,,17.39,17.10,0.29
PRE-G1k,PRE-N4,POST-G1k-H1,POST-N4,,20.52,20.90,-0.38
PRE-G1l,PRE-N4,POST-G1l-H1,POST-N4,,17.44,17.60,-0.16
PRE-G1m,PRE-N4,POST-G1m-H1,POST-N4,,18.24,19.30,-1.06
PRE-G1n,PRE-N4,POST-G1n-H1,POST-N4,,11.33,12.20,-0.87
PRE-H1a,PRE-N4,POST-H1a-H1,POST-N4,,15.03,15.70,-0.67
PRE-H1b,PRE-N4,POST-H1b-H1,POST-N4,,16.67,17.30,-0.63
PRE-H1c,PRE-N4,POST-H1c-H1,POST-N4,,12.71,13.10,-0.39
PRE-H1d,PRE-N4,POST-H1d-H1,POST-N4,,18.18,18.60,-0.42
PRE-H1e,PRE-N4,POST-H1e-H1,POST-N4,,13.76,13.80,-0.04
PRE-H1f,PRE-N4,POST-H1f-H1,POST-N4,,14.13,14.20,-0.07
PRE-H1h,PRE-N4,POST-H1h-H1,POST-N4,,14.52,14.90,-0.38
PRE-H1j,PRE-N4,POST-H1j-H1,POST-N4,,16.52,17.30,-0.78
PRE-H1k,PRE-N4,POST-H1k-H1,POST-N4,,18.10,19.10,-1.00
PRE-H1l,PRE-N4,POST-H1l-H1,POST-N4,,16.27,17.50,-1.23
PRE-H1m,PRE-N4,POST-H1m-H1,POST-N4,,16.24,16.90,-0.66
PRE-H1n,PRE-N4,POST-H1n-H1,POST-N4,,13.26,14.60,-1.34
PRE-I1a,PRE-N4,POST-I1a-H1,POST-N4,,12.60,13.10,-0.50
PRE-I1b,PRE-N4,POST-I1b-H1,POST-N4,,15.33,16.10,-0.77
PRE-I1c,PRE-N4,POST-I1c-H1,POST-N4,,12.29,12.10,0.19
PRE-I1d,PRE-N4,POST-I1d-H1,POST-N4,,15.32,16.30,-0.98
PRE-I1e,PRE-N4,POST-I1e-H1,POST-N4,,13.26,14.10,-0.84
PRE-I1f,PRE-N4,POST-I1f-H1,POST-N4,,12.96,13.00,-0.04
PRE-I1h,PRE-N4,POST-I1h-H1,POST-N4,,12.28,12.50,-0.22
PRE-I1j,PRE-N4,POST-I1j-H1,POST-N4,,14.37,15.10,-0.73
PRE-I1k,PRE-N4,POST-I1k-H1,POST-N4,,14.27,15.20,-0.93
PRE-I1l,PRE-N4,POST-I1l-H1,POST-N4,,13.13,13.10,0.03
PRE-I1m,PRE-N4,POST-I1m-H1,POST-N4,,12.68,13.40,-0.72
PRE-I1n,PRE-N4,POST-I1n-H1,POST-N4,,12.51,12.40,0.11
PRE-J1a,PRE-N4,POST-J1a-H1,POST-N4,,14.26,15.20,-0.94
PRE-J1b,PRE-N4,POST-J1b-H1,POST-N4,,15.15,15.60,-0.45
PRE-J1c,PRE-N4,POST-J1c-H1,POST-N4,,13.62,14.20,-0.58
PRE-J1d,PRE-N4,POST-J1d-H1,POST-N4,,15.20,15.70,-0.50
PRE-J1e,PRE-N4,POST-J1e-H1,POST-N4,,14.22,15.10,-0.88
PRE-J1f,PRE-N4,POST-J1f-H1,POST-N4,,13.93,14.70,-0.77
PRE-J1h,PRE-N4,POST-J1h-H1,POST-N4,,14.00,14.50,-0.50
PRE-J1i,PRE-N4,POST-J1i-H1,POST-N4,,14.31,14.70,-0.39
PRE-J1j,PRE-N4,POST-J1j-H1,POST-N4,,14.63,15.00,-0.37
PRE-J1k,PRE-N4,POST-J1k-H1,POST-N4,,15.42,16.50,-1.08
PRE-J1l,PRE-N4,POST-J1l-H1,POST-N4,,14.93,15.10,-0.17
PRE-J1m,PRE-N4,POST-J1m-H1,POST-N4,,14.31,14.90,-0.59
PRE-J1n,PRE-N4,POST-J1n-H1,POST-N4,,13.71,14.50,-0.79
PRE-SI1,PRE-N4,POST-SI1-H1,POST-N4,,12.29,12.80,-0.51
PRE-SI2,PRE-N4,POST-SI2-H1,POST-N4,,12.68,13.50,-0.82
PRE-SI3,PRE-N4,POST-SI3-H1,POST-N4,,12.85,13.30,-0.45
PRE-A1a,PRE-N5,POST-A1a-H1,POST-N5,,17.77,17.60,0.17
PRE-A1b,PRE-N5,POST-A1b-H1,POST-N5,,25.00,25.70,-0.70
PRE-A1d,PRE-N5,POST-A1d-H1,POST-N5,,27.32,30.30,-2.98
PRE-A1e,PRE-N5,POST-A1e-H1,POST-N5,,14.08,12.60,1.48
PRE-A1f,PRE-N5,POST-A1f-H1,POST-N5,,14.60,14.40,0.20
PRE-A1h,PRE-N5,POST-A1h-H1,POST-N5,,15.16,15.10,0.06
PRE-A1i,PRE-N5,POST-A1i-H1,POST-N5,,21.52,20.70,0.82
PRE-A1j,PRE-N5,POST-A1j-H1,POST-N5,,20.34,20.90,-0.56
PRE-A1k,PRE-N5,POST-A1k-H1,POST-N5,,26.91,28.30,-1.39
PRE-A1l,PRE-N5,POST-A1l-H1,POST-N5,,23.35,24.20,-0.85
PRE-A1m,PRE-N5,POST-A1m-H1,POST-N5,,19.92,20.00,-0.08
PRE-B1a,PRE-N5,POST-B1a-H1,POST-N5,,16.71,16.30,0.41
PRE-B1a,PRE-N5,POST-B1a-H3,POST-N5,,18.57,18.40,0.17
PRE-B1b,PRE-N5,POST-B1b-H1,POST-N5,,21.57,23.10,-1.53
PRE-B1b,PRE-N5,POST-B1b-H2,POST-N5,,19.88,19.90,-0.02
PRE-B1b,PRE-N5,POST-B1b-H3,POST-N5,,20.70,20.30,0.40
PRE-B1c,PRE-N5,POST-B1c-H2,POST-N5,,17.33,17.70,-0.37
PRE-B1c,PRE-N5,POST-B1c-H3,POST-N5,,19.31,20.30,-0.99
PRE-B1d,PRE-N5,POST-B1d-H1,POST-N5,,24.58,26.90,-2.32
PRE-B1d,PRE-N5,POST-B1d-H2,POST-N5,,21.98,22.00,-0.02
PRE-B1d,PRE-N5,POST-B1d-H3,POST-N5,,22.21,20.80,1.41
PRE-B1e,PRE-N5,POST-B1e-H1,POST-N5,,13.18,12.20,0.98
PRE-B1e,PRE-N5,POST-B1e-H2,POST-N5,,17.24,18.00,-0.76
PRE-B1e,PRE-N5,POST-B1e-H3,POST-N5,,19.37,19.30,0.07
PRE-B1f,PRE-N5,POST-B1f-H1,POST-N5,,13.76,14.70,-0.94
PRE-B1f,PRE-N5,POST-B1f-H2,POST-N5,,17.80,17.10,0.70
PRE-B1f,PRE-N5,POST-B1f-H3,POST-N5,,19.04,19.20,-0.16
PRE-B1g,PRE-N5,POST-B1g-H2,POST-N5,,19.10,19.40,-0.30
PRE-B1g,PRE-N5,POST-B1g-H3,POST-N5,,19.75,21.00,-1.25
PRE-B1h,PRE-N5,POST-B1h-H1,POST-N5,,13.70,13.90,-0.20
PRE-B1h,PRE-N5,POST-B1h-H2,POST-N5,,17.90,17.50,0.40
PRE-B1h,PRE-N5,POST-B1h-H3,POST-N5,,19.16,19.30,-0.14
PRE-B1j,PRE-N5,POST-B1j-H1,POST-N5,,19.33,19.70,-0.37
PRE-B1j,PRE-N5,POST-B1j-H2,POST-N5,,18.77,18.30,0.47
PRE-B1j,PRE-N5,POST-B1j-H3,POST-N5,,20.04,19.60,0.44
PRE-B1k,PRE-N5,POST-B1k-H1,POST-N5,,23.99,25.80,-1.81
PRE-B1k,PRE-N5,POST-B1k-H2,POST-N5,,19.58,20.50,-0.92
PRE-B1k,PRE-N5,POST-B1k-H3,POST-N5,,20.30,20.30,-0.00
PRE-B1l,PRE-N5,POST-B1l-H1,POST-N5,,20.37,21.60,-1.23
PRE-B1l,PRE-N5,POST-B1l-H2,POST-N5,,18.26,18.50,-0.24
PRE-B1l,PRE-N5,POST-B1l-H3,POST-N5,,19.42,19.40,0.02
PRE-B1m,PRE-N5,POST-B1m-H1,POST-N5,,18.23,19.50,-1.27
PRE-B1m,PRE-N5,POST-B1m-H2,POST-N5,,16.67,17.20,-0.53
PRE-B1m,PRE-N5,POST-B1m-H3,POST-N5,,18.86,18.50,0.36
PRE-B1n,PRE-N5,POST-B1n-H2,POST-N5,,16.73,17.50,-0.77
PRE-B1n,PRE-N5,POST-B1n-H3,POST-N5,,19.10,19.90,-0.80
PRE-B2a,PRE-N5,POST-B2a-H1,POST-N5,,14.29,12.70,1.59
PRE-B2a,PRE-N5,POST-B2a-H2,POST-N5,,19.13,19.20,-0.07
PRE-B2b,PRE-N5,POST-B2b-H1,POST-N5,,19.26,18.80,0.46
PRE-B2b,PRE-N5,POST-B2b-H2,POST-N5,,22.65,23.90,-1.25
PRE-B2c,PRE-N5,POST-B2c-H2,POST-N5,,20.19,20.70,-0.51
PRE-B2d,PRE-N5,POST-B2d-H1,POST-N5,,22.42,22.80,-0.38
PRE-B2d,PRE-N5,POST-B2d-H2,POST-N5,,24.42,24.80,-0.38
PRE-B2e,PRE-N5,POST-B2e-H1,POST-N5,,12.43,11.10,1.33
PRE-B2e,PRE-N5,POST-B2e-H2,POST-N5,,19.77,19.20,0.57
PRE-B2f,PRE-N5,POST-B2f-H2,POST-N5,,20.50,21.50,-1.00
PRE-B2g,PRE-N5,POST-B2g-H2,POST-N5,,21.60,23.40,-1.80
PRE-B2h,PRE-N5,POST-B2h-H1,POST-N5,,12.99,13.50,-0.51
PRE-B2h,PRE-N5,POST-B2h-H2,POST-N5,,20.56,21.00,-0.44
PRE-B2j,PRE-N5,POST-B2j-H1,POST-N5,,16.95,17.20,-0.25
PRE-B2j,PRE-N5,POST-B2j-H2,POST-N5,,21.92,22.50,-0.58
PRE-B2k,PRE-N5,POST-B2k-H1,POST-N5,,21.36,21.40,-0.04
PRE-B2k,PRE-N5,POST-B2k-H2,POST-N5,,23.00,23.70,-0.70
PRE-B2l,PRE-N5,POST-B2l-H1,POST-N5,,17.95,17.70,0.25
PRE-B2l,PRE-N5,POST-B2l-H2,POST-N5,,20.68,21.10,-0.42
PRE-B2m,PRE-N5,POST-B2m-H1,POST-N5,,15.49,15.40,0.09
PRE-B2m,PRE-N5,POST-B2m-H2,POST-N5,,19.23,19.50,-0.27
PRE-B2n,PRE-N5,POST-B2n-H2,POST-N5,,19.53,19.80,-0.27
PRE-C1a,PRE-N5,POST-C1a-H1,POST-N5,,15.56,15.80,-0.24
PRE-C1b,PRE-N5,POST-C1b-H1,POST-N5,,19.01,19.80,-0.79
PRE-C1d,PRE-N5,POST-C1d-H1,POST-N5,,21.87,22.80,-0.93
PRE-C1e,PRE-N5,POST-C1e-H1,POST-N5,,14.43,14.80,-0.37
PRE-C1g,PRE-N5,POST-C1g-H1,POST-N5,,14.90,16.60,-1.70
PRE-C1h,PRE-N5,POST-C1h-H1,POST-N5,,14.25,14.80,-0.55
PRE-C1i,PRE-N5,POST-C1i-H1,POST-N5,,16.51,16.70,-0.19
PRE-C1j,PRE-N5,POST-C1j-H1,POST-N5,,18.01,18.10,-0.09
PRE-C1k,PRE-N5,POST-C1k-H1,POST-N5,,21.06,21.40,-0.34
PRE-C1l,PRE-N5,POST-C1l-H1,POST-N5,,17.86,18.30,-0.44
PRE-C1m,PRE-N5,POST-C1m-H1,POST-N5,,15.89,15.80,0.09
PRE-D1a,PRE-N5,POST-D1a-H1,POST-N5,,14.44,14.90,-0.46
PRE-D1b,PRE-N5,POST-D1b-H1,POST-N5,,17.89,18.50,-0.61
PRE-D1d,PRE-N5,POST-D1d-H1,POST-N5,,20.16,20.90,-0.74
PRE-D1e,PRE-N5,POST-D1e-H1,POST-N5,,14.84,15.90,-1.06
PRE-D1f,PRE-N5,POST-D1f-H1,POST-N5,,12.82,11.20,1.62
PRE-D1h,PRE-N5,POST-D1h-H1,POST-N5,,13.36,14.50,-1.14
PRE-D1j,PRE-N5,POST-D1j-H1,POST-N5,,17.52,17.50,0.02
PRE-D1k,PRE-N5,POST-D1k-H1,POST-N5,,19.62,19.60,0.02
PRE-D1l,PRE-N5,POST-D1l-H1,POST-N5,,17.13,16.90,0.23
PRE-D1m,PRE-N5,POST-D1m-H1,POST-N5,,16.68,15.60,1.08
PRE-D1n,PRE-N5,POST-D1n-H1,POST-N5,,8.55,5.80,2.75
PRE-E1a,PRE-N5,POST-E1a-H1,POST-N5,,17.33,17.40,-0.07
PRE-E1b,PRE-N5,POST-E1b-H1,POST-N5,,20.40,21.80,-1.40
PRE-E1c,PRE-N5,POST-E1c-H1,POST-N5,,13.89,14.20,-0.31
PRE-E1d,PRE-N5,POST-E1d-H1,POST-N5,,23.34,25.20,-1.86
PRE-E1e,PRE-N5,POST-E1e-H1,POST-N5,,15.78,15.60,0.18
PRE-E1f,PRE-N5,POST-E1f-H1,POST-N5,,16.07,17.10,-1.03
PRE-E1g,PRE-N5,POST-E1g-H1,POST-N5,,14.71,15.40,-0.69
PRE-E1h,PRE-N5,POST-E1h-H1,POST-N5,,15.52,16.30,-0.78
PRE-E1i,PRE-N5,POST-E1i-H1,POST-N5,,18.75,19.90,-1.15
PRE-E1j,PRE-N5,POST-E1j-H1,POST-N5,,19.20,20.20,-1.00
PRE-E1k,PRE-N5,POST-E1k-H1,POST-N5,,22.96,24.50,-1.54
PRE-E1l,PRE-N5,POST-E1l-H1,POST-N5,,20.45,20.90,-0.45
PRE-E1m,PRE-N5,POST-E1m-H1,POST-N5,,17.61,19.10,-1.49
PRE-F1a,PRE-N5,POST-F1a-H1,POST-N5,,15.67,16.10,-0.43
PRE-F1b,PRE-N5,POST-F1b-H1,POST-N5,,18.76,19.60,-0.84
PRE-F1d,PRE-N5,POST-F1d-H1,POST-N5,,22.51,22.60,-0.09
PRE-F1e,PRE-N5,POST-F1e-H1,POST-N5,,15.33,15.10,0.23
PRE-F1f,PRE-N5,POST-F1f-H1,POST-N5,,12.97,11.50,1.47
PRE-F1h,PRE-N5,POST-F1h-H1,POST-N5,,13.44,15.70,-2.26
PRE-F1j,PRE-N5,POST-F1j-H1,POST-N5,,18.47,18.70,-0.23
PRE-F1k,PRE-N5,POST-F1k-H1,POST-N5,,21.28,23.00,-1.72
PRE-F1l,PRE-N5,POST-F1l-H1,POST-N5,,19.01,18.00,1.01
PRE-F1m,PRE-N5,POST-F1m-H1,POST-N5,,18.59,19.10,-0.51
PRE-G1a,PRE-N5,POST-G1a-H1,POST-N5,,16.45,15.70,0.75
PRE-G1b,PRE-N5,POST-G1b-H1,POST-N5,,19.53,20.70,-1.17
PRE-G1d,PRE-N5,POST-G1d-H1,POST-N5,,23.09,25.10,-2.01
PRE-G1f,PRE-N5,POST-G1f-H1,POST-N5,,13.43,11.60,1.83
PRE-G1g,PRE-N5,POST-G1g-H1,POST-N5,,15.66,17.80,-2.14
PRE-G1h,PRE-N5,POST-G1h-H1,POST-N5,,13.91,14.90,-0.99
PRE-G1i,PRE-N5,POST-G1i-H1,POST-N5,,17.46,18.00,-0.54
PRE-G1j,PRE-N5,POST-G1j-H1,POST-N5,,18.60,19.20,-0.60
PRE-G1k,PRE-N5,POST-G1k-H1,POST-N5,,22.60,23.90,-1.30
PRE-G1l,PRE-N5,POST-G1l-H1,POST-N5,,19.62,20.30,-0.68
PRE-G1m,PRE-N5,POST-G1m-H1,POST-N5,,18.82,19.40,-0.58
PRE-H1a,PRE-N5,POST-H1a-H1,POST-N5,,15.76,16.10,-0.34
PRE-H1b,PRE-N5,POST-H1b-H1,POST-N5,,18.90,19.80,-0.90
PRE-H1d,PRE-N5,POST-H1d-H1,POST-N5,,21.58,22.60,-1.02
PRE-H1e,PRE-N5,POST-H1e-H1,POST-N5,,15.01,16.30,-1.29
PRE-H1h,PRE-N5,POST-H1h-H1,POST-N5,,14.73,16.60,-1.87
PRE-H1j,PRE-N5,POST-H1j-H1,POST-N5,,18.20,18.40,-0.20
PRE-H1k,PRE-N5,POST-H1k-H1,POST-N5,,20.90,21.80,-0.90
PRE-H1l,PRE-N5,POST-H1l-H1,POST-N5,,17.85,18.30,-0.45
PRE-H1m,PRE-N5,POST-H1m-H1,POST-N5,,17.14,17.30,-0.16
PRE-I1a,PRE-N5,POST-I1a-H1,POST-N5,,13.15,13.50,-0.35
PRE-I1b,PRE-N5,POST-I1b-H1,POST-N5,,17.89,18.10,-0.21
PRE-I1c,PRE-N5,POST-I1c-H1,POST-N5,,13.40,13.70,-0.30
PRE-I1d,PRE-N5,POST-I1d-H1,POST-N5,,18.24,18.90,-0.66
PRE-I1e,PRE-N5,POST-I1e-H1,POST-N5,,13.77,13.70,0.07
PRE-I1f,PRE-N5,POST-I1f-H1,POST-N5,,13.81,14.40,-0.59
PRE-I1h,PRE-N5,POST-I1h-H1,POST-N5,,13.27,13.50,-0.23
PRE-I1j,PRE-N5,POST-I1j-H1,POST-N5,,16.08,15.90,0.18
PRE-I1k,PRE-N5,POST-I1k-H1,POST-N5,,15.95,17.10,-1.15
PRE-I1l,PRE-N5,POST-I1l-H1,POST-N5,,14.01,13.70,0.31
PRE-I1m,PRE-N5,POST-I1m-H1,POST-N5,,13.89,14.70,-0.81
PRE-I1n,PRE-N5,POST-I1n-H1,POST-N5,,11.58,7.70,3.88
PRE-J1a,PRE-N5,POST-J1a-H1,POST-N5,,15.52,15.60,-0.08
PRE-J1b,PRE-N5,POST-J1b-H1,POST-N5,,17.66,17.50,0.16
PRE-J1c,PRE-N5,POST-J1c-H1,POST-N5,,14.73,15.60,-0.87
PRE-J1d,PRE-N5,POST-J1d-H1,POST-N5,,17.92,17.40,0.52
PRE-J1e,PRE-N5,POST-J1e-H1,POST-N5,,15.74,16.30,-0.56
PRE-J1f,PRE-N5,POST-J1f-H1,POST-N5,,15.38,16.00,-0.62
PRE-J1h,PRE-N5,POST-J1h-H1,POST-N5,,15.39,15.70,-0.31
PRE-J1i,PRE-N5,POST-J1i-H1,POST-N5,,15.64,16.00,-0.36
PRE-J1j,PRE-N5,POST-J1j-H1,POST-N5,,16.13,16.40,-0.27
PRE-J1k,PRE-N5,POST-J1k-H1,POST-N5,,17.36,18.20,-0.84
PRE-J1l,PRE-N5,POST-J1l-H1,POST-N5,,16.97,16.60,0.37
PRE-J1m,PRE-N5,POST-J1m-H1,POST-N5,,15.60,16.10,-0.50
PRE-J1n,PRE-N5,POST-J1n-H1,POST-N5,,14.51,16.80,-2.29
PRE-SI1,PRE-N5,POST-SI1-H1,POST-N5,,13.10,13.40,-0.30
PRE-SI2,PRE-N5,POST-SI2-H1,POST-N5,,13.25,13.60,-0.35
PRE-SI3,PRE-N5,POST-SI3-H1,POST-N5,,13.43,13.50,-0.07
PRE-A1a,PRE-O1,POST-A1a-H1,POST-O1,,15.77,15.60,0.17
PRE-A1b,PRE-O1,POST-A1b-H1,POST-O1,,19.38,19.70,-0.32
PRE-A1c,PRE-O1,POST-A1c-H1,POST-O1,,12.05,13.40,-1.35
PRE-A1d,PRE-O1,POST-A1d-H1,POST-O1,,20.98,21.20,-0.22
PRE-A1e,PRE-O1,POST-A1e-H1,POST-O1,,13.85,13.80,0.05
PRE-A1f,PRE-O1,POST-A1f-H1,POST-O1,,13.93,13.50,0.43
PRE-A1h,PRE-O1,POST-A1h-H1,POST-O1,,14.10,15.00,-0.90
PRE-A1i,PRE-O1,POST-A1i-H1,POST-O1,,18.66,18.10,0.56
PRE-A1j,PRE-O1,POST-A1j-H1,POST-O1,,17.69,17.90,-0.21
PRE-A1k,PRE-O1,POST-A1k-H1,POST-O1,,21.84,22.10,-0.26
PRE-A1l,PRE-O1,POST-A1l-H1,POST-O1,,18.01,18.50,-0.49
PRE-A1m,PRE-O1,POST-A1m-H1,POST-O1,,17.52,18.00,-0.48
PRE-A1n,PRE-O1,POST-A1n-H1,POST-O1,,10.76,10.40,0.36
PRE-B1a,PRE-O1,POST-B1a-H1,POST-O1,,14.90,15.50,-0.60
PRE-B1a,PRE-O1,POST-B1a-H3,POST-O1,,16.76,16.80,-0.04
PRE-B1b,PRE-O1,POST-B1b-H1,POST-O1,,17.34,18.20,-0.86
PRE-B1b,PRE-O1,POST-B1b-H2,POST-O1,,16.48,16.70,-0.22
PRE-B1b,PRE-O1,POST-B1b-H3,POST-O1,,17.66,18.00,-0.34
PRE-B1c,PRE-O1,POST-B1c-H1,POST-O1,,12.20,13.00,-0.80
PRE-B1c,PRE-O1,POST-B1c-H2,POST-O1,,15.43,15.30,0.13
PRE-B1c,PRE-O1,POST-B1c-H3,POST-O1,,16.94,16.80,0.14
PRE-B1d,PRE-O1,POST-B1d-H1,POST-O1,,19.38,19.90,-0.52
PRE-B1d,PRE-O1,POST-B1d-H2,POST-O1,,17.49,18.00,-0.51
PRE-B1d,PRE-O1,POST-B1d-H3,POST-O1,,18.27,18.60,-0.33
PRE-B1e,PRE-O1,POST-B1e-H1,POST-O1,,13.47,13.90,-0.43
PRE-B1e,PRE-O1,POST-B1e-H2,POST-O1,,15.63,16.20,-0.57
PRE-B1e,PRE-O1,POST-B1e-H3,POST-O1,,17.13,17.00,0.13
PRE-B1f,PRE-O1,POST-B1f-H1,POST-O1,,13.43,13.80,-0.37
PRE-B1f,PRE-O1,POST-B1f-H2,POST-O1,,15.98,16.20,-0.22
PRE-B1f,PRE-O1,POST-B1f-H3,POST-O1,,17.07,17.70,-0.63
PRE-B1h,PRE-O1,POST-B1h-H1,POST-O1,,13.61,13.60,0.01
PRE-B1h,PRE-O1,POST-B1h-H2,POST-O1,,15.71,16.10,-0.39
PRE-B1h,PRE-O1,POST-B1h-H3,POST-O1,,16.83,17.00,-0.17
PRE-B1j,PRE-O1,POST-B1j-H1,POST-O1,,16.77,16.80,-0.03
PRE-B1j,PRE-O1,POST-B1j-H2,POST-O1,,16.68,16.90,-0.22
PRE-B1j,PRE-O1,POST-B1j-H3,POST-O1,,17.48,17.80,-0.32
PRE-B1k,PRE-O1,POST-B1k-H1,POST-O1,,19.24,20.20,-0.96
PRE-B1k,PRE-O1,POST-B1k-H2,POST-O1,,16.54,17.30,-0.76
PRE-B1k,PRE-O1,POST-B1k-H3,POST-O1,,17.51,17.80,-0.29
PRE-B1l,PRE-O1,POST-B1l-H1,POST-O1,,16.83,17.50,-0.67
PRE-B1l,PRE-O1,POST-B1l-H2,POST-O1,,16.13,16.40,-0.27
PRE-B1l,PRE-O1,POST-B1l-H3,POST-O1,,17.33,17.60,-0.27
PRE-B1m,PRE-O1,POST-B1m-H1,POST-O1,,16.36,18.10,-1.74
PRE-B1m,PRE-O1,POST-B1m-H2,POST-O1,,15.68,15.80,-0.12
PRE-B1m,PRE-O1,POST-B1m-H3,POST-O1,,17.04,17.60,-0.56
PRE-B1n,PRE-O1,POST-B1n-H1,POST-O1,,11.32,13.10,-1.78
PRE-B1n,PRE-O1,POST-B1n-H2,POST-O1,,15.30,16.80,-1.50
PRE-B1n,PRE-O1,POST-B1n-H3,POST-O1,,16.93,17.10,-0.17
PRE-B2a,PRE-O1,POST-B2a-H1,POST-O1,,14.02,13.70,0.32
PRE-B2a,PRE-O1,POST-B2a-H2,POST-O1,,17.17,17.30,-0.13
PRE-B2b,PRE-O1,POST-B2b-H1,POST-O1,,15.87,16.90,-1.03
PRE-B2b,PRE-O1,POST-B2b-H2,POST-O1,,18.85,19.00,-0.15
PRE-B2c,PRE-O1,POST-B2c-H1,POST-O1,,11.63,12.60,-0.97
PRE-B2c,PRE-O1,POST-B2c-H2,POST-O1,,17.50,17.50,0.00
PRE-B2d,PRE-O1,POST-B2d-H1,POST-O1,,17.53,18.30,-0.77
PRE-B2d,PRE-O1,POST-B2d-H2,POST-O1,,19.23,19.30,-0.07
PRE-B2e,PRE-O1,POST-B2e-H1,POST-O1,,13.00,12.90,0.10
PRE-B2e,PRE-O1,POST-B2e-H2,POST-O1,,17.43,18.60,-1.17
PRE-B2f,PRE-O1,POST-B2f-H1,POST-O1,,13.09,13.10,-0.01
PRE-B2f,PRE-O1,POST-B2f-H2,POST-O1,,17.61,17.70,-0.09
PRE-B2h,PRE-O1,POST-B2h-H1,POST-O1,,12.74,13.10,-0.36
PRE-B2h,PRE-O1,POST-B2h-H2,POST-O1,,17.46,17.80,-0.34
PRE-B2j,PRE-O1,POST-B2j-H1,POST-O1,,15.87,15.60,0.27
